,full_name,gp_score,full_name,gp_score,full_name,gp_score,full_name,gp_score,full_name,gp_score,full_name,gp_score
0,Courtney Breiner,12.0,Lindsey Klinge,12.0,Kacey Sornberger,20,Laurie Hoyt,20.0,Karen Dott,12.0,Erika Oesterle,12.0
1,Pam Eistertz,12.0,Jocelyn Sarrantonio,10.0,Lori Schmidt,14,Christine Varley,12.0,Karen Gerstenberger,12.0,Susan j. Wong,12.0
2,Valerie Burger,10.0,,,Nicola Macneil,12,Gail Doering,12.0,Denise Greene,10.0,Suzanne Nealon,10.0
3,,,,,Sarah Parks,12,Betsy Henry,8.0,Grace Farrell,8.0,Alice Carpenter,8.0
4,,,,,Jessica Northan,8,Joanna Tremper,8.0,,,,
5,,,,,Victoria Wagner,8,Heather Machabee,7.0,,,,
6,,,,,Beth Rice,6,Kathleen Tersigni,7.0,,,,
7,,,,,Hannah Barry,6,Barbara Diamond,6.0,,,,
8,,,,,Alyssa Gibbons,5,Rebecca O'connell,6.0,,,,
9,,,,,Ashley Peacock,5,,,,,,
10,,,,,Michelle Peltier,4,,,,,,
