,full_name,gp_score,full_name,gp_score,full_name,gp_score,full_name,gp_score,full_name,gp_score,full_name,gp_score
0,Chris Murphy jr,12.0,Chuck Terry,24.0,Ryan Mccann,18.0,Ed Menis,18.0,Richard a. Munson,22,James Fiore,15.0
1,Keith Machabee,12.0,Ben Heller,10.0,Mike Otoole,14.0,Christian w. Lietzau,12.0,William Bean,17,Jim Moore,14.0
2,Jim Tremper,10.0,Tim Russell,10.0,Anthony Giuliano,12.0,Samuel Mercado,12.0,Derrick Staley,12,Dave Glass,12.0
3,Will Engel,10.0,Thomas Gabriel,8.0,Robert Irwin,12.0,Russell Lauer,10.0,Christopher g. Murphy,8,Paul Bennett,12.0
4,,,Leonard Rowe,7.0,Brian Northan,10.0,Gene Terwilliger,8.0,Dave Hart,8,Edwin Litts,11.0
5,,,,,Neil Sergott,8.0,Edward Hampston,7.0,Tom Mcguire,7,Juergen Reher,10.0
6,,,,,Matthew Robinson-loffler,6.0,Mark Dolan,6.0,Christopher Kurkjian,6,Ray Lee,9.0
7,,,,,Ravi Chauhan,6.0,Jon Rocco,5.0,Peter Butryn,6,Michael Thumann,8.0
8,,,,,Craig Williams,5.0,Seth Engel,4.0,Bill Marinello,5,Leo j. Dipierro,7.0
9,,,,,Kamesh Penumarthy,5.0,Michael j. Kelly,3.0,Mark Nunez,5,,
10,,,,,,,Robert Foulks,2.0,Richard Clark,4,,
11,,,,,,,,,Stephen j. Obermayer,4,,
12,,,,,,,,,Joseph Orsini,3,,
13,,,,,,,,,Thomas Mcternan,3,,
14,,,,,,,,,Ned Norton,2,,
