,first_name,last_name,time
0,Mark,Mindel,48:43
1,Scott,Ferguson,48:43
2,Dan,Larson,49:13
3,Stan,Wlskoskl,49:43
4,Kevin,Scheuer,49:47
5,Steve,Rabideau,50:25
6,Mike,Moffett,50:30
7,Richard,D'Aleo,50:40
8,Greg,Floyd,51:11
9,Shelly,Melnitsky,51:28
10,Matt,Jones,51:37
11,Chris,Maney,51:44
12,Bill,Galameau,52:00
13,Paul,Rosenberg,52:23
14,Dean,Whalen,52:47
15,Jay,Walsh,53:06
16,Ted,BiGk,53:27
17,Pat,Stewart,53:54
18,Mike,Kahnle,54:06
19,Steve,Phllbrlck,54:10
20,Paul,Spoor,54:15
21,Matt,VanBuren,54:20
22,Frank,Ripple,54:30
23,Rick,Schwarz,54:35
24,Chuck,Phillips,54:50
25,Chris,Carroll,55:30
26,Jim,Forbes,55:40
27,James,Boyer,56:00
28,Keith,Leonard,56:25
29,Grey,Hogue,57:25
30,Dan,Egy,57:50
31,Frank,Yunker,58:00
32,Dan,Bertrand,58:20
33,Mike,Mahoney,58:25
34,Al,Decker,58:26
35,Marty, ,58:28
36,Lowell,Montgomery,58:33
37,Rod,Kieft,58:51
38,Herb,Reilly,59:09
39,Pat,Morphy,59:33
40,Bob,Coll,59:43
41,Joe,Sears,59:52
42,Charles,Budney,60:01
43,Joe,Vacca,60:07
44,Faustin,Barron,60:15
45,Gerald,LaPolnte,60:28
46,David,Smith,61:09
47,Newton,Perrins,62:23
48,Jim,Madden,62:38
49,David,Lussier,62:45
50,Ed,McDonald,63:00
51,Ed,Pritchard,63:35
52,Mark,Beaudette,64:39
53,John,Aronson,65:05
54,Rick,Moore,65:11
55,Dennis,Pacelll,65:33
56,Eric,Meyer,66:00
57,Tom,Brady,66:35
58,John,Loucks,66:49
59,Robert,Sylves,67:23
60,Rudolf,Markytan,67:54
61,Stevo,Dowling,68:20
62,Jim,Mullin,68:38
63,George,Repicky,68:46
64,Chuck,Dwyer,69:09
65,James,Dwyer,69:09
66,Pat,Fuerst,70:09
67,B, ,71:43
68,Greg,Reilly,75:45
69,Joanne,Finn,75:45
70,Robert,Reilly,75:49
71,Joe,Fuerst,75:53
72,Mike,Notar,79:20
73,Tom,Constantino,79:21
74,Philip,Finn,81:49
75,Norman,Bauman,82:34
76,Fred,Strnisa,83:44
