,place,last_name,first_name,time,race_id
0,1,Crowley,Steve,47:59,1
1,2,Keenan,Dale,48:07,1
2,3,Glover,Pat,48:29,1
3,4,Frederick,Larry,48:36,1
4,5,Pollack,Lee,49:18,1
5,6,Boyer,Brian D.,49:20,1
6,7,Hurteau,Daniel,49:23,1
7,8,Robinson,Bill,49:28,1
8,9,Tourge,Jerry,49:34,1
9,10,Mindel,Mark,49:55,1
10,11,Bulger,Tom,50:00,1
11,12,Wiegand,Heinz,50:04,1
12,13,Dilmore,Gary,50:20,1
13,14,Greene,Tom,50:31,1
14,15,Coy,Peter,50:36,1
15,16,Hawkins,Charles,50:58,1
16,17,Hurbert,Tim,51:06,1
17,10,Ebbets,Russ,51:00,1
18,19,Alaggio,Patrick,51:09,1
19,20,DeGiule,Joseph,51:14,1
20,21,Sweeney,Pat,51:17,1
21,22,Van,"Garderen, Peter",51:19,1
22,23,Barney,Neil,51:22,1
23,24,Littre11,Roland,51:38,1
24,25,Hudson,Dick,51:47,1
25,26,Cletcher,Paul,51:48,1
26,27,Ripple,Frank,52:00,1
27,28,Tallon,Daniel,52:02,1
28,29,Layden,Tia,52:07,1
29,30,Murray,Paul,52:08,1
30,31,Hajjar,Peter,52:09,1
31,32,Ford,John,52:13,1
32,33,Colose,Don,52:16,1
33,34,Mason,Timothy,52:20,1
34,35,Cantwell,Dan,52:22,1
35,36,Douglas,Bill,52:22,1
36,37,Wilcox,Lee,52:34,1
37,38,Baggenstoss,Paul M.,52:46,1
38,39,Dow,Glenn,52:53,1
39,40,Miller,Doug,52:57,1
40,41,Irving,Richard,53:10,1
41,42,Picotte,Rob,53:13,1
42,43,Springer,Carl,53:18,1
43,44,Horan,Bob,53:20,1
44,45,Shannon,John,53:28,1
45,46,Deblase,Michael,53:31,1
46,47,Nimmer,Ronald P.,53:33,1
47,43,Johnson,Peter L.,53:34,1
48,49,Marincic,Nom,53:35,1
49,50,Hennessy,Garret,53:38,1
50,52,Ca«ey,Charlie,53:41,1
51,52,Santos,Denis,53:42,1
52,53,Klapp,Kenneth,53:46,1
53,54,St,"John, Kevin",53:49,1
54,55,Fernando,Feria,53:50,1
55,56,Huges,Jack,53:53,1
56,57,Meehan,Bill,53:53,1
57,58,Scullion,Paul,54:03,1
58,59,Cole,R. Jeffrey,54:05,1
59,60,Derrick,Tim,54:03,1
60,61,Barrett,Kevin,54:10,1
61,62,Petro,Alec,54:15,1
62,63,Cialek,Christopher,54:21,1
63,64,Palaszewski,Paul,54:22,1
64,65,Farnum,Timothy,54:30,1
65,66,Mele,Steve,54:32,1
66,67,Christian,Richard,54:34,1
67,68,Evans,Craig L.,54:42,1
68,69,Stenard,Robert,54:48,1
69,?0,Allen,Douglass,54:50,1
70,71,Bonvillc,Joe,54:53,1
71,72,Teague,Brian,54:59,1
72,73,Garratt,Roger,55:03,1
73,74,Bick,Ted,55:03,1
74,75,Kisselback,Paul,55:07,1
75,76,Kolly,David G.,55:09,1
76,77,Mason,Michael,55:12,1
77,78,Fennell,Ed,55:13,1
78,79,Connolly,Charles,55:16,1
79,80,Seacord,John,55:18,1
80,81,Wlntle,Carter A.,55:21,1
81,82,Abearn,Mike,55:26,1
82,83,Hayes,Don,55:33,1
83,84,Morgan,Hubert,55:37,1
84,85,Montgomery,Lewe11,55:51,1
85,86,Norman,William,55:58,1
86,87,Spenello,James,55:59,1
87,88,McNamara,Timothy J.,56:02,1
88,89,Day,Thom,56:03,1
89,90,Mowbray,Donald F.,56:10,1
90,91,Powers,Edward P.,56:11,1
91,92,Rightmycr,Jack,56:14,1
92,93,Morrow,Chris,56:16,1
93,94,David,Karl,56:26,1
94,95,Dicerbo,John,56:28,1
95,96,Forbes,Jim,56:30,1
96,97,Reddy,Steve,56;31,1
97,98,Noyes,Stephen,56:39,1
98,99,Maggs,Tim,56:49,1
99,100,Smith,Christopher J,56:53,1
100,101,Donnan,Edward,56:53,1
101,102,Spain,Frank,56:55,1
102,J03,Weglarz,Ellea,56:57,1
103,104,Donald,Orland E.,57:02,1
104,105,Cotrofeld,Joe,57:11,1
105,106,Fuller,Richard,57;12,1
106,107,Denny,Norman,57:14,1
107,108,Stewart,Robert G.,57:16,1
108,109,Turner,James,5?;19,1
109,110,Husted,Robert,57:25,1
110,111,O'Connell,Jim,57:27,1
111,112,Misiaszek,Michael J,57:37,1
112,113,Baller,Bill,57:38,1
113,114,Ferguson,Darryl,57:46,1
114,115,McClintock,Mike,57:50,1
115,116,Mahoney,Kevin,57:52,1
